"IDFACTURA";"IDVCTO";"FECHA";"IMPORTE"
717;546;15/5/2002 0:00:00;2241.24 €
718;547;15/5/2002 0:00:00;154.05 €
718;548;15/6/2002 0:00:00;154.05 €
719;549;15/6/2002 0:00:00;644.83 €
720;550;15/5/2002 0:00:00;794.09 €
721;551;15/5/2002 0:00:00;885.67 €
722;552;15/5/2002 0:00:00;117.39 €
723;553;15/5/2002 0:00:00;987.73 €
725;554;15/5/2002 0:00:00;137.69 €
726;555;15/6/2002 0:00:00;884.50 €
727;556;20/6/2002 0:00:00;202.13 €
728;557;15/5/2002 0:00:00;242.42 €
730;558;15/4/2002 0:00:00;664.11 €
731;559;15/6/2002 0:00:00;445.83 €
732;560;25/6/2002 0:00:00;285.27 €
733;561;15/5/2002 0:00:00;1208.69 €
733;562;15/6/2002 0:00:00;1208.69 €
733;563;15/7/2002 0:00:00;1208.68 €
735;564;22/4/2002 0:00:00;385.96 €
736;565;15/4/2002 0:00:00;1030.03 €
738;566;15/4/2002 0:00:00;86.81 €
740;567;15/5/2002 0:00:00;287.01 €
741;568;5/7/2002 0:00:00;1601.47 €
742;569;15/5/2002 0:00:00;344.45 €
743;570;15/6/2002 0:00:00;433.49 €
745;571;15/5/2002 0:00:00;1161.09 €
746;572;15/5/2002 0:00:00;1094.77 €
747;573;15/6/2002 0:00:00;1777.79 €
770;574;5/6/2002 0:00:00;1329.72 €
771;575;6/6/2002 0:00:00;596.24 €
775;576;23/5/2002 0:00:00;386.55 €
776;577;30/5/2002 0:00:00;701.81 €
777;578;20/6/2002 0:00:00;1121.92 €
778;579;21/5/2002 0:00:00;507.80 €
779;580;10/6/2002 0:00:00;214.25 €
780;581;5/7/2002 0:00:00;580.17 €
781;582;26/5/2002 0:00:00;864.23 €
782;583;10/6/2002 0:00:00;537.98 €
783;584;10/7/2002 0:00:00;48.26 €
785;585;5/5/2002 0:00:00;105.30 €
786;586;26/6/2002 0:00:00;142.91 €
787;587;26/5/2002 0:00:00;1657.81 €
788;588;15/6/2002 0:00:00;883.29 €
789;589;10/7/2002 0:00:00;2297.58 €
790;590;27/5/2002 0:00:00;4175.45 €
791;591;10/7/2002 0:00:00;1256.74 €
792;592;30/5/2002 0:00:00;142.91 €
793;593;26/6/2002 0:00:00;3032.16 €
794;594;26/5/2002 0:00:00;358.80 €
795;595;26/5/2002 0:00:00;180.81 €
796;596;15/6/2002 0:00:00;492803.00 €
797;597;26/5/2002 0:00:00;111.55 €
798;598;26/6/2002 0:00:00;145.85 €
799;599;26/5/2002 0:00:00;874.35 €
